bohr_id,X,Y,latitude,longitude,dataset
Langensalza_35_1970,4410553.0,5665310.8,51.11586656404023,10.721077820250615,All Points
Langensalza_36_1970,4411469.5,5665143.5,51.11450543529208,10.734204226327124,All Points
Lenders_1_1964,4363304.26,5621430.51,50.71233489720237,10.06308260541581,All Points
Mariengart_3_1961,4361560.35,5626866.32,50.76075763769472,10.036365710908056,All Points
Markvippach_2_1973,4444744.2,5659855.3,51.07115076858299,11.210141498091074,All Points
Martinroda_1_1988,4364330.5,5632375.64,50.81090800992235,10.07357085479777,All Points
Mechterstädt_1_1962,4397244.3,5648939.6,50.96652583970477,10.535718197100389,All Points
Mechterstädt_2_1963,4396807.0,5647799.7,50.956204590930305,10.529818398948558,All Points
Mechterstädt_4_1963,4397735.0,5650109.6,50.97712675594387,10.54237218585137,All Points
Mechterstädt_5_1963,4395206.5,5649575.9,50.97187653299751,10.506536235694963,All Points
Mehrstedt_5_1970,4407219.9,5683254.7,51.276583109388206,10.668853860813686,All Points
Mehrstedt_6_1971,4407284.5,5682709.3,51.27169264974817,10.669920838993713,All Points
Metzels_1_1964,4390345.34,5613464.0,50.646476146299,10.448139655477213,All Points
Neudietendorf_1_1962,4419059.9,5645289.2,50.93719723117313,10.84700940024591,All Points
Neudietendorf_3_1962,4419648.0,5646283.1,50.94621180779078,10.855154947193865,All Points
Neudietendorf_4_1962,4420555.2,5644215.1,50.92775199381926,10.868511807435029,All Points
Neudietendorf_5_1963,4418490.5,5644391.2,50.92904660134461,10.839111467508742,All Points
Neumark_1_1974,4447158.0,5661943.2,51.09014410017846,11.244271371215227,All Points
Neumark_2_1974,4448980.5,5661518.1,51.08648836984249,11.270342009901846,All Points
Nohra_11_1978,4407599.0,5699888.1,51.42611088442549,10.669966541877086,All Points
Nohra_15_1978,4411691.6,5698846.9,51.41740705294357,10.729052638503926,All Points
Nohra_16_1978,4410735.8,5698224.6,51.41166541695593,10.71547331785447,All Points
Oberhof_1_1962,4408553.2,5622025.2,50.726557856345664,10.703378116190015,All Points
Oechsen_3_1962,4363553.96,5623413.94,50.73021301520956,10.065882503154972,All Points
Ohmgebirge_1_1961,4382116.1,5697798.79,51.402613862991515,10.304426683985968,All Points
Ponitz_1_1960,4529649.5,5636232.0,50.860709054295114,12.419609118590161,All Points
Ramsla_3_1973,4453876.0,5654617.0,51.02487472498525,11.341085531983742,All Points
Ramsla_4_1974,4448775.3,5658391.7,51.05836994122197,11.267856715603026,All Points
Rentwertshausen_1_1965,4393768.78,5593079.46,50.463925263983356,10.502338241813955,All Points
Rockensussra_2_1983,4408893.3,5682075.3,51.26625489616062,10.693129269944789,All Points
Rockensussra_4_1969,4408988.0,5682958.0,51.27420206411364,10.694261050349338,All Points
Rockensussra_5_1969,4409160.2,5683434.2,51.2785087242148,10.696607017382817,All Points
